report_date,bank_name,bank_category,record_type,metric,value,unit,data_status
2025-10-31,BANK OF BARODA,Public Sector Banks,bank,dc_pos_withdrawal_vol,2.0,transactions,provisional
2025-10-31,BANK OF BARODA,Public Sector Banks,bank,debit_cards,88587123.0,count,provisional
2025-10-31,BANK OF BARODA,Public Sector Banks,bank,micro_atms,42317.0,count,provisional
2025-10-31,BANK OF BARODA,Public Sector Banks,bank,pos_terminals,55816.0,count,provisional
2025-10-31,BANK OF BARODA,Public Sector Banks,bank,upi_qr,2896596.0,count,provisional
2025-10-31,BANK OF INDIA,Public Sector Banks,bank,atm_offsite,2497.0,count,provisional
2025-10-31,BANK OF INDIA,Public Sector Banks,bank,atm_onsite,5199.0,count,provisional
2025-10-31,BANK OF INDIA,Public Sector Banks,bank,bharat_qr,0.0,count,provisional
2025-10-31,BANK OF INDIA,Public Sector Banks,bank,cc_atm_withdrawal_val,37146.91378,rs_thousands,provisional
2025-10-31,BANK OF INDIA,Public Sector Banks,bank,cc_atm_withdrawal_vol,6905.0,transactions,provisional
2025-10-31,BANK OF INDIA,Public Sector Banks,bank,cc_ecom_txn_val,558362.2997000001,rs_thousands,provisional
2025-10-31,BANK OF INDIA,Public Sector Banks,bank,cc_ecom_txn_vol,275126.0,transactions,provisional
2025-10-31,BANK OF INDIA,Public Sector Banks,bank,cc_other_txn_val,0.0,rs_thousands,provisional
2025-10-31,BANK OF INDIA,Public Sector Banks,bank,cc_other_txn_vol,0.0,transactions,provisional
2025-10-31,BANK OF INDIA,Public Sector Banks,bank,cc_pos_txn_val,568808.0519,rs_thousands,provisional
2025-10-31,BANK OF INDIA,Public Sector Banks,bank,cc_pos_txn_vol,116818.0,transactions,provisional
2025-10-31,BANK OF INDIA,Public Sector Banks,bank,credit_cards,89273.0,count,provisional
2025-10-31,BANK OF INDIA,Public Sector Banks,bank,dc_atm_withdrawal_val,64661749.6255,rs_thousands,provisional
2025-10-31,BANK OF INDIA,Public Sector Banks,bank,dc_atm_withdrawal_vol,14595109.0,transactions,provisional
2025-10-31,BANK OF INDIA,Public Sector Banks,bank,dc_ecom_txn_val,843496.77464,rs_thousands,provisional
2025-10-31,BANK OF INDIA,Public Sector Banks,bank,dc_ecom_txn_vol,311329.0,transactions,provisional
2025-10-31,BANK OF INDIA,Public Sector Banks,bank,dc_other_txn_val,0.0,rs_thousands,provisional
2025-10-31,BANK OF INDIA,Public Sector Banks,bank,dc_other_txn_vol,0.0,transactions,provisional
2025-10-31,BANK OF INDIA,Public Sector Banks,bank,dc_pos_txn_val,5220249.56179,rs_thousands,provisional
2025-10-31,BANK OF INDIA,Public Sector Banks,bank,dc_pos_txn_vol,2006379.0,transactions,provisional
2025-10-31,BANK OF INDIA,Public Sector Banks,bank,dc_pos_withdrawal_val,0.0,rs_thousands,provisional
2025-10-31,BANK OF INDIA,Public Sector Banks,bank,dc_pos_withdrawal_vol,0.0,transactions,provisional
2025-10-31,BANK OF INDIA,Public Sector Banks,bank,debit_cards,37693197.0,count,provisional
2025-10-31,BANK OF INDIA,Public Sector Banks,bank,micro_atms,25038.0,count,provisional
2025-10-31,BANK OF INDIA,Public Sector Banks,bank,pos_terminals,18827.0,count,provisional
2025-10-31,BANK OF INDIA,Public Sector Banks,bank,upi_qr,1353550.0,count,provisional
2025-10-31,BANK OF MAHARASHTRA,Public Sector Banks,bank,atm_offsite,249.0,count,provisional
2025-10-31,BANK OF MAHARASHTRA,Public Sector Banks,bank,atm_onsite,2334.0,count,provisional
2025-10-31,BANK OF MAHARASHTRA,Public Sector Banks,bank,bharat_qr,355014.0,count,provisional
2025-10-31,BANK OF MAHARASHTRA,Public Sector Banks,bank,cc_atm_withdrawal_val,0.0,rs_thousands,provisional
2025-10-31,BANK OF MAHARASHTRA,Public Sector Banks,bank,cc_atm_withdrawal_vol,0.0,transactions,provisional
